"","BIAS","RMSE","OVER.EXPOS","LESS.EXPOS","UNUSED","CHISQ","OVERLAB","MEAN.LENGTH","UNREACHED","EFFICIENCY","meanSE"
"eval_mfi",-0.01,0.204,0.114,0.547,0.317,83.892,0.718,33.814,0.069,0.801,0.196
"eval_astr",-0.009,0.21,0.114,0.369,0.222,63.906,0.4,43.071,0.098,0.578,0.203
"eval_m1",-0.006,0.213,0.106,0.339,0.194,52.071,0.357,43.546,0.106,0.572,0.203
"eval_m2",-0.008,0.207,0.042,0.208,0.067,29.128,0.268,44.742,0.134,0.554,0.205
"eval_m3",-0.014,0.211,0.097,0.333,0.167,48.864,0.337,44.051,0.12,0.564,0.203
